,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
106,Bronxdale High School,"$26,313",465,$0,100%
107,Brooklyn Academy High School,"$28,166",233,$0,100%
108,Brooklyn Academy of Science and the Environment,"$22,042",357,"$394,298",90%
109,Brooklyn Arbor Elementary School,"$20,744",560,$0,100%
110,Brooklyn Arts and Science Elementary School,"$24,707",354,$0,100%
111,Brooklyn Bridge Academy,"$25,364",183,"$268,406",90%
112,Brooklyn Brownstone School,"$20,283",254,"$218,498",90%
113,Brooklyn College Academy,"$17,510",630,"$408,764",93%
114,Brooklyn Collegiate: A College Board School,"$29,374",232,$0,100%
115,47 The American Sign Language and English Secondary School,"$29,476",199,N/A,
116,Brooklyn Democracy Academy,"$24,667",211,"$283,758",91%
117,47 The American Sign Language and English Secondary School,"$29,476",199,N/A,
118,Brooklyn Frontiers High School,"$31,217",169,"$32,891",99%
119,Brooklyn Gardens Elementary School,"$24,526",295,$0,100%
120,Brooklyn Generation School,"$32,833",176,$0,100%
121,Brooklyn High School for Law and Technology,"$21,086",540,"$621,060",90%
122,Brooklyn High School for Leadership and Community Service,"$25,355",190,"$291,016",90%
123,Brooklyn High School of the Arts,"$21,526",866,$0,110%
124,Brooklyn Institute for Liberal Arts,"$19,865",418,$0,100%
125,Brooklyn International High School,"$22,323",353,"$453,776",90%
126,Brooklyn Lab School,"$24,458",395,$0,100%
127,Brooklyn Landmark Elementary School,"$22,593",326,$0,100%
128,"Brooklyn Latin School, The","$18,193",616,$0,100%
129,Brooklyn Preparatory High School,"$20,611",505,"$552,110",90%
130,Brooklyn School for Music & Theatre,"$23,089",278,"$324,609",90%
131,Brooklyn School of Inquiry,"$17,218",516,"$246,185",95%
132,Brooklyn Science and Engineering Academy,"$25,471",290,$0,100%
133,Brooklyn Secondary School for Collaborative Studies,"$24,289",676,"$639,997",93%
134,Brooklyn Studio Secondary School,"$20,836",919,"$1,080,527",90%
135,Brooklyn Technical High School,"$16,405",5970,"$5,879,667",90%
136,Brooklyn Theatre Arts High School,"$20,373",350,"$382,035",90%
137,Brownsville Academy High School,"$33,645",93,$0,100%
138,Brownsville Collaborative Middle School,"$23,315",314,$0,100%
139,Bushwick Community High School,"$26,196",251,"$375,342",90%
140,Bushwick Leaders High School for Academic Excellence,"$27,414",275,"$402,580",90%
141,Business of Sports School,"$23,995",415,"$342,482",94%
142,Business Technology Early College High School,"$20,455",425,$0,100%
143,C Columbus HS YABC,"$15,732",138,N/A,
144,Cambria Heights Academy,"$21,475",346,$0,101%
145,Careers in Sports High School,"$23,452",475,"$198,107",97%
146,Cascades High School,"$22,021",223,"$278,016",90%
147,Castle Bridge School,"$30,808",198,$0,100%
148,Catherine & Count Basie Middle School 72,"$28,931",353,"$464,420",90%
149,"Celia Cruz Bronx High School of Music, The","$24,366",428,"$626,832",90%
150,Central Park East High School,"$21,264",500,"$472,878",91%
151,Central Park East I,"$25,989",160,"$29,608",98%
152,Central Park East II,"$23,908",454,$0,100%
